course_id,course_name,description,credit,department
INE4048,인간-컴퓨터시스템설계,"인간과 컴퓨터가 상호작용하는 시스템을 설계하는 방법을 학습하며 HCI UX 디자인 사용자 중심 설계 진로와 연결되는 과목이다.",3,ICT융합학부
MCT3003,웰니스디자인,"건강과 삶의 질을 높이는 서비스와 경험을 디자인하며 UX 디자인 서비스 디자인 사용자 리서치 역량과 관련되는 과목이다.",3,ICT융합학부 컬쳐테크놀로지전공
MCT3006,무대공간분석과디자인,"공간과 사용자 경험을 분석하고 디자인하며 문화 콘텐츠 공간 경험 설계 UX 디자인 진로와 연결되는 과목이다.",3,ICT융합학부 컬쳐테크놀로지전공
CSE3026,웹애플리케이션개발,"웹 서비스와 애플리케이션 개발 방법을 학습하며 소프트웨어 개발자와 백엔드 개발자 진로에 필요한 구현 역량을 기르는 과목이다.",3,ICT융합학부
MMT3021,ICT창업캡스톤디자인2,"ICT 기반 창업 아이디어를 프로젝트로 구현하며 융합 서비스 기획과 개발 협업 경험을 쌓는 캡스톤 과목이다.",3,ICT융합학부
MMT4009,ICT융합캡스톤디자인1,"ICT 융합 프로젝트를 기획하고 구현하며 기술 디자인 데이터 분석을 결합한 문제 해결 역량을 기르는 캡스톤 과목이다.",3,ICT융합학부
CSE2022,피지컬컴퓨팅,"센서와 물리적 장치를 활용한 컴퓨팅 환경을 다루며 인터랙션 시스템 IoT 기반 서비스 개발과 연결되는 과목이다.",3,ICT융합학부
MMT4014,HCI연구실심화실습3,"HCI 연구와 실습을 통해 사용자 경험 사용성 평가 인간-컴퓨터 상호작용을 심화 학습하는 과목이다.",1,ICT융합학부
MMT3001,디지털미디어콘텐츠기획,"디지털 미디어 콘텐츠의 기획 과정과 사용자 경험을 학습하며 미디어 서비스 UX 콘텐츠 기획 진로와 연결되는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT3007,기계학습,"데이터 기반 예측 모델과 기계학습 알고리즘을 학습하며 AI 연구자와 데이터 분석가에게 필요한 모델링 역량을 기르는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT3010,미디어인포그래픽스,"정보를 시각적으로 구조화하고 전달하는 방법을 학습하며 데이터 시각화 UX 디자인 미디어 콘텐츠 제작 역량과 관련되는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT3018,소셜미디어분석,"소셜미디어 데이터를 분석하여 사용자 행동과 콘텐츠 반응을 이해하며 데이터 분석가와 UX 리서치 진로에 도움이 되는 과목이다.",3,ICT융합학부 미디어테크놀로지전공
MMT4013,리빙랩이론과실제,"사용자와 현장 중심의 문제 해결 과정을 학습하며 서비스 디자인 UX 리서치 프로젝트 기반 기획 역량을 기르는 과목이다.",3,ICT융합학부
MDT2001,디자인소프트웨어실습,"디자인 작업에 필요한 소프트웨어 활용 능력을 실습하며 UX 디자이너와 디지털 디자인 진로에 필요한 도구 활용 역량을 기르는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
MDT3005,융합기술과이노베이션디자인,"기술과 디자인을 결합해 새로운 제품과 서비스를 기획하며 UX 디자인 서비스 디자인 프로덕트 기획 진로와 연결되는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
MDT4001,디자인마케팅과컨설팅,"디자인 결과물을 시장과 사용자 관점에서 분석하고 컨설팅하는 방법을 학습하며 UX 리서치와 서비스 기획 역량에 도움이 되는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
MDT4007,스마트실감형어플리케이션개발,"스마트 기기와 실감형 기술을 활용한 애플리케이션 개발을 학습하며 인터랙션 디자인과 소프트웨어 개발 역량을 함께 기르는 과목이다.",3,ICT융합학부 디자인테크놀로지전공
INE3093,공학과심리,"공학 시스템을 사용하는 인간의 심리와 행동을 이해하며 UX 리서치와 인간-컴퓨터 상호작용 설계에 도움이 되는 과목이다.",3,ICT융합학부
MMT1002,ICT융합을위한인공지능,"ICT 융합 분야에서 인공지능의 기본 개념과 활용을 학습하며 AI 서비스와 데이터 기반 의사결정 역량을 기르는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
MMT4020,통계적데이터분석,"통계 기반 데이터 분석 방법을 학습하며 데이터 분석가와 AI 관련 직무에 필요한 데이터 해석 역량을 기르는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
MCT2005,뮤직테크놀로지,"음악과 디지털 기술을 결합한 콘텐츠 제작과 분석을 학습하며 미디어테크놀로지와 창의적 기술 활용 역량을 기르는 과목이다.",3,ICT융합학부 디자인컨버전스전공
MDT2009,디자인공학드로잉&2D실습1,"디자인 공학의 기초 드로잉과 2D 표현을 실습하며 UX 디자인과 제품 서비스 시각화 역량을 기르는 과목이다.",3,ICT융합학부 디자인컨버전스전공
MDT4013,게임프로그래밍프로젝트1,"게임 프로그래밍 프로젝트를 통해 인터랙티브 콘텐츠와 소프트웨어 구현 경험을 쌓는 과목이다.",3,ICT융합학부 디자인컨버전스전공
MMT2010,자바프로그래밍입문,"Java 프로그래밍의 기초를 학습하며 소프트웨어 개발과 백엔드 개발에 필요한 기본 구현 역량을 기르는 과목이다.",3,ICT융합학부 디자인컨버전스전공
CSE2018,시스템프로그래밍기초,"컴퓨터 시스템과 프로그래밍의 기초를 학습하며 소프트웨어 개발자와 데이터 시스템 개발에 필요한 기반 역량을 기르는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
MMT2003,융복합미디어개론,"미디어와 ICT 융합의 기본 개념을 학습하며 디지털 콘텐츠 서비스 기획과 미디어테크놀로지 이해에 도움이 되는 과목이다.",3,ICT융합학부 데이터인텔리전스전공
